KPLN	Pellston Regional Airport (Emmet County)	Pellston, Michigan, United States
KPLK	M. Graham Clark Downtown Airport	Point Lookout, Missouri, United States
KPKF	Park Falls Municipal Airport	Park Falls, Wisconsin, United States
KPKD	Park Rapids Municipal Airport (Konshok Field)	Park Rapids, Minnesota, United States
KPKB	Mid-Ohio Valley Regional Airport	Parkersburg, West Virginia, United States
KPIT	Pittsburgh International Airport	Pittsburgh, Pennsylvania, United States
KPIR	Pierre Regional Airport	Pierre, South Dakota, United States
KPIM	Harris County Airport	Pine Mountain, Georgia, United States
KPIH	Pocatello Regional Airport	Pocatello, Idaho, United States
KPIE	St. Pete–Clearwater International Airport	St. Petersburg / Clearwater, United States
KPIB	Hattiesburg–Laurel Regional Airport	Hattiesburg / Laurel, Mississippi, United States
KPIA	General Wayne A. Downing Peoria International Airport	Peoria, Illinois, United States
KPHX	Phoenix Sky Harbor International Airport	Phoenix, Arizona, United States
KPHT	Henry County Airport	Paris, Tennessee, United States
KPHP	Philip Airport	Philip, South Dakota, United States
KPHN	St. Clair County International Airport	Port Huron, Michigan, United States
KPHL	Philadelphia International Airport	Philadelphia, Pennsylvania, United States
KPHK	Palm Beach County Glades Airport	Pahokee, Florida, United States
KPHF	Newport News/Williamsburg International Airport	Newport News / Williamsburg, Virginia, United States
KPHD	Harry Clever Field	New Philadelphia, Ohio, United States
KPGV	Pitt–Greenville Airport	Greenville, North Carolina, United States
KPGR	Kirk Field	Paragould, Arkansas, United States
KPGD	Punta Gorda Airport	Punta Gorda, Florida, United States
KPGA	Page Municipal Airport	Page, Arizona, United States
KPFC	Pacific City State Airport	Pacific City, Oregon, United States
KPEQ	Pecos Municipal Airport	Pecos, Texas, United States
KPDX	Portland International Airport	Portland, Oregon, United States
KPDT	Eastern Oregon Regional Airport	Pendleton, Oregon, United States
KPDK	DeKalb–Peachtree Airport	Atlanta, Georgia, United States
KPDC	Prairie du Chien Municipal Airport (FAA: PDC)	Prairie du Chien, Wisconsin, United States
KPBX	Pike County Airport[1] (FAA: PBX)	Pikeville, Kentucky, United States
KPBI	Palm Beach International Airport	West Palm Beach, Florida, United States
KPBG	Plattsburgh International Airport	Plattsburgh, New York, United States
KPBF	Grider Field	Pine Bluff, Arkansas, United States
KPAO	Palo Alto Airport (Santa Clara County Airport)	Palo Alto, California, United States
KPAN	Payson Airport (FAA: PAN)	Payson, Arizona, United States
KPAM	Tyndall Air Force Base	Panama City, Florida, United States
KPAH	Barkley Regional Airport	Paducah, Kentucky, United States
KPAE	Paine Field (Snohomish County Airport)	Everett, Washington, United States
KGYI	North Texas Regional Airport (FAA: GYI)	Sherman / Denison, Texas, United States
HUPA	Pakuba Airfield	Pakuba, Uganda
HTPE	Pemba Airport[1]	Pemba Island, Tanzania
HSPN	Port Sudan New International Airport	Port Sudan, Sudan
HEPS	Port Said Airport[1]	Port Said, Egypt
GOSP	Podor Airport	Podor, Senegal
FZVS	Ilebo Airport[1]	Ilebo, Democratic Republic of the Congo
FZQC	Pweto Airport[1]	Pweto, Democratic Republic of the Congo
FZOP	Punia Airport[1]	Punia, Democratic Republic of the Congo
FXPG	Pelaneng Airport[1]	Pelaneng, Lesotho
FTTP	Pala Airport[1]	Pala, Chad
FSPP	Praslin Island Airport	Praslin Island, Seychelles
FQPO	Ponta do Ouro Airport[1]	Ponta do Ouro, Mozambique
FQPB	Pemba Airport	Pemba, Mozambique
FPPR	Príncipe Airport[1]	Príncipe Island, São Tomé and Príncipe
FOOG	Port-Gentil International Airport	Port-Gentil, Gabon
FNPA	Porto Amboim Airport[1]	Porto Amboim, Angola
FNCH	Chitato Airport[1]	Chitato, Angola
FCPP	Pointe Noire Airport	Pointe-Noire, Republic of the Congo
FBSP	Selebi-Phikwe Airport	Selebi-Phikwe, Botswana
FAWB	Wonderboom Airport	Pretoria, South Africa
FAPS	Potchefstroom Airport[1]	Potchefstroom, South Africa
FAPP	Polokwane International Airport	Polokwane, South Africa
FAPM	Pietermaritzburg Airport	Pietermaritzburg, South Africa
